Time,Price
2022-05-02 11:15:00,492.75
2022-05-02 11:15:01,492.75
2022-05-02 11:15:02,493.35
2022-05-02 11:15:03,493
2022-05-02 11:15:04,492.8
2022-05-02 11:15:05,492.65
2022-05-02 11:15:06,492.6
2022-05-02 11:15:07,492.45
2022-05-02 11:15:08,492
2022-05-02 11:15:09,492
2022-05-02 11:15:10,492.8
2022-05-02 11:15:11,493
2022-05-02 11:15:12,493.15
2022-05-02 11:15:13,492.75
2022-05-02 11:15:14,493.05
2022-05-02 11:15:15,492.8
2022-05-02 11:15:16,492.75
2022-05-02 11:15:17,492.6
2022-05-02 11:15:18,492.8
2022-05-02 11:15:19,492.95
2022-05-02 11:15:20,493.2
2022-05-02 11:15:21,493.15
2022-05-02 11:15:23,493.45
2022-05-02 11:15:24,493.05
2022-05-02 11:15:25,493.65
2022-05-02 11:15:26,494
2022-05-02 11:15:27,494.2
2022-05-02 11:15:28,494.15
2022-05-02 11:15:29,494.35
2022-05-02 11:15:30,494.05
2022-05-02 11:15:31,494
2022-05-02 11:15:32,493.95
2022-05-02 11:15:33,494.4
2022-05-02 11:15:34,493.85
2022-05-02 11:15:35,494
2022-05-02 11:15:36,494
2022-05-02 11:15:37,494
2022-05-02 11:15:38,493.65
2022-05-02 11:15:39,493.85
2022-05-02 11:15:40,493.95
2022-05-02 11:15:41,493.65
2022-05-02 11:15:42,493.65
2022-05-02 11:15:43,494
2022-05-02 11:16:14,493.9
2022-05-02 11:16:15,493.9
2022-05-02 11:16:16,493.85
2022-05-02 11:16:17,493.85
2022-05-02 11:16:18,493.9
2022-05-02 11:16:19,493.8
2022-05-02 11:16:20,493.9
2022-05-02 11:16:21,493.8
2022-05-02 11:16:22,494
2022-05-02 11:16:23,493.75
2022-05-02 11:16:24,493.85
2022-05-02 11:16:25,494
2022-05-02 11:16:26,494
2022-05-02 11:16:27,494
2022-05-02 11:16:28,493.9
2022-05-02 11:16:30,493.9
2022-05-02 11:16:31,494
2022-05-02 11:16:32,494
2022-05-02 11:16:34,494
2022-05-02 11:16:35,493.85
2022-05-02 11:16:36,494
2022-05-02 11:16:37,494
2022-05-02 11:16:38,494
2022-05-02 11:16:40,494
2022-05-02 11:16:41,494
2022-05-02 11:16:42,494
2022-05-02 11:16:43,494
2022-05-02 11:17:15,494.35
2022-05-02 11:17:16,494
2022-05-02 11:17:17,494.35
2022-05-02 11:17:18,494
2022-05-02 11:17:19,494.15
2022-05-02 11:17:21,494.05
2022-05-02 11:17:22,494.1
2022-05-02 11:17:23,494.35
2022-05-02 11:17:24,494
2022-05-02 11:17:25,493.8
2022-05-02 11:17:26,494
2022-05-02 11:17:27,494
2022-05-02 11:17:29,494
2022-05-02 11:17:30,494
2022-05-02 11:17:31,494
2022-05-02 11:17:32,493.85
2022-05-02 11:17:33,493.95
2022-05-02 11:17:34,494
2022-05-02 11:17:35,493.95
2022-05-02 11:17:37,493.7
2022-05-02 11:17:38,493.95
2022-05-02 11:17:40,493.9
2022-05-02 11:17:41,493.85
2022-05-02 11:17:42,493.55
2022-05-02 11:17:43,493.5
2022-05-02 11:18:14,494
2022-05-02 11:18:16,494
2022-05-02 11:18:17,493.85
2022-05-02 11:18:18,494
2022-05-02 11:18:19,494
2022-05-02 11:18:20,494
2022-05-02 11:18:21,494
2022-05-02 11:18:22,493.85
2022-05-02 11:18:23,494
2022-05-02 11:18:24,493.85
2022-05-02 11:18:25,494
2022-05-02 11:18:26,494
2022-05-02 11:18:27,494
2022-05-02 11:18:28,494
2022-05-02 11:18:29,494
2022-05-02 11:18:30,494
2022-05-02 11:18:31,494
2022-05-02 11:18:32,493.95
2022-05-02 11:18:33,494
2022-05-02 11:18:34,494
2022-05-02 11:18:35,494
2022-05-02 11:18:36,494
2022-05-02 11:18:37,494
2022-05-02 11:18:38,494
2022-05-02 11:18:40,494
2022-05-02 11:18:41,494
2022-05-02 11:18:42,494
2022-05-02 11:18:43,493.85
2022-05-02 11:19:14,494
2022-05-02 11:19:15,494
2022-05-02 11:19:16,494
2022-05-02 11:19:17,494
2022-05-02 11:19:18,494
2022-05-02 11:19:19,494
2022-05-02 11:19:20,493.95
2022-05-02 11:19:21,493.95
2022-05-02 11:19:22,494
2022-05-02 11:19:23,494
2022-05-02 11:19:24,493.95
2022-05-02 11:19:25,493.9
2022-05-02 11:19:26,493.95
2022-05-02 11:19:27,494
2022-05-02 11:19:28,494
2022-05-02 11:19:29,494
2022-05-02 11:19:30,494
2022-05-02 11:19:31,494
2022-05-02 11:19:32,493.95
2022-05-02 11:19:33,494
2022-05-02 11:19:34,494
2022-05-02 11:19:35,494
2022-05-02 11:19:36,494
2022-05-02 11:19:37,494
2022-05-02 11:19:38,493.9
2022-05-02 11:19:40,494
2022-05-02 11:19:41,493.9
2022-05-02 11:19:42,494
2022-05-02 11:19:43,494
2022-05-02 11:20:14,494
2022-05-02 11:20:15,493.9
2022-05-02 11:20:16,494
2022-05-02 11:20:17,494
2022-05-02 11:20:18,494
2022-05-02 11:20:19,494
2022-05-02 11:20:20,493.9
2022-05-02 11:20:22,493.95
2022-05-02 11:20:23,493.95
2022-05-02 11:20:24,493.85
2022-05-02 11:20:25,493.9
2022-05-02 11:20:26,493.95
2022-05-02 11:20:27,494
2022-05-02 11:20:28,494
2022-05-02 11:20:29,493.9
2022-05-02 11:20:31,494
2022-05-02 11:20:32,494
2022-05-02 11:20:33,493.9
2022-05-02 11:20:34,494
2022-05-02 11:20:35,493.9
2022-05-02 11:20:36,494
2022-05-02 11:20:37,494
2022-05-02 11:20:38,493.85
2022-05-02 11:20:39,493.95
2022-05-02 11:20:40,493.95
2022-05-02 11:20:41,493.75
2022-05-02 11:20:42,493.85
2022-05-02 11:20:43,493.85
2022-05-02 11:20:44,493.85
2022-05-02 11:21:14,494
2022-05-02 11:21:15,494
2022-05-02 11:21:16,494
2022-05-02 11:21:17,494
2022-05-02 11:21:19,494
2022-05-02 11:21:20,493.95
2022-05-02 11:21:21,494
2022-05-02 11:21:22,494.65
2022-05-02 11:21:23,494.9
2022-05-02 11:21:24,494.85
2022-05-02 11:21:25,494.35
2022-05-02 11:21:26,494.75
2022-05-02 11:21:27,494.8
2022-05-02 11:21:28,494.75
2022-05-02 11:21:29,494.65
2022-05-02 11:21:30,494.65
2022-05-02 11:21:31,494.55
2022-05-02 11:21:32,494.8
2022-05-02 11:21:33,494.8
2022-05-02 11:21:34,494.7
2022-05-02 11:21:35,494.55
2022-05-02 11:21:36,494.15
2022-05-02 11:21:37,494.4
2022-05-02 11:21:38,494.3
2022-05-02 11:21:39,494.45
2022-05-02 11:21:40,494.5
2022-05-02 11:21:41,494.7
2022-05-02 11:21:42,494.7
2022-05-02 11:21:43,494.7
2022-05-02 11:22:14,493.8
2022-05-02 11:22:15,493.95
2022-05-02 11:22:16,494
2022-05-02 11:22:17,494
2022-05-02 11:22:18,494
2022-05-02 11:22:19,493.95
2022-05-02 11:22:20,493.75
2022-05-02 11:22:21,493.95
2022-05-02 11:22:22,493.9
2022-05-02 11:22:23,493.9
2022-05-02 11:22:24,493.85
2022-05-02 11:22:25,493.9
2022-05-02 11:22:26,493.85
2022-05-02 11:22:27,493.55
2022-05-02 11:22:28,493.7
2022-05-02 11:22:29,493.7
2022-05-02 11:22:31,493.75
2022-05-02 11:22:32,493.5
2022-05-02 11:22:33,493.6
2022-05-02 11:22:34,493.6
2022-05-02 11:22:35,493.2
2022-05-02 11:22:36,493.5
2022-05-02 11:22:37,493.5
2022-05-02 11:22:38,493.5
2022-05-02 11:22:39,493.6
2022-05-02 11:22:40,493.4
2022-05-02 11:22:41,493.3
2022-05-02 11:22:42,493.4
2022-05-02 11:22:43,493.4
2022-05-02 11:22:44,493.4
2022-05-02 11:23:15,493.9
2022-05-02 11:23:16,493.8
2022-05-02 11:23:17,494
2022-05-02 11:23:18,493.9
2022-05-02 11:23:19,493.85
2022-05-02 11:23:20,493.9
2022-05-02 11:23:21,493.9
2022-05-02 11:23:22,493.95
2022-05-02 11:23:23,494
2022-05-02 11:23:24,494
2022-05-02 11:23:25,494
2022-05-02 11:23:26,493.85
2022-05-02 11:23:27,493.85
2022-05-02 11:23:28,493.85
2022-05-02 11:23:29,493.85
2022-05-02 11:23:30,493.85
2022-05-02 11:23:31,493.85
2022-05-02 11:23:32,493.85
2022-05-02 11:23:33,493.8
2022-05-02 11:23:34,493.9
2022-05-02 11:23:35,493.9
2022-05-02 11:23:36,493.8
2022-05-02 11:23:37,493.8
2022-05-02 11:23:38,493.8
2022-05-02 11:23:39,493.7
2022-05-02 11:23:40,493.7
2022-05-02 11:23:41,493.7
2022-05-02 11:23:42,493.7
2022-05-02 11:23:43,493.7
2022-05-02 11:23:44,493.6
2022-05-02 11:23:45,493.6
2022-05-02 11:23:46,493.75
2022-05-02 11:23:47,493.7
2022-05-02 11:23:48,493.7
2022-05-02 11:23:49,493.7
2022-05-02 11:23:50,493.7
2022-05-02 11:23:51,493.7
2022-05-02 11:23:52,493.7
2022-05-02 11:23:53,493.7
2022-05-02 11:23:54,493.7
2022-05-02 11:23:55,493.8
2022-05-02 11:23:56,493.8
2022-05-02 11:23:57,493.8
2022-05-02 11:23:58,493.75
2022-05-02 11:23:59,493.8
2022-05-02 11:24:00,493.75
2022-05-02 11:24:01,493.75
2022-05-02 11:24:02,493.8
2022-05-02 11:24:03,493.65
2022-05-02 11:24:04,493.8
2022-05-02 11:24:05,493.8
2022-05-02 11:24:06,493.8
2022-05-02 11:24:07,493.8
2022-05-02 11:24:08,493.8
2022-05-02 11:24:09,493.7
2022-05-02 11:24:10,493.65
2022-05-02 11:24:11,493.55
2022-05-02 11:24:12,493.55
2022-05-02 11:24:13,493.5
2022-05-02 11:24:44,493.4
2022-05-02 11:24:45,493.5
2022-05-02 11:24:46,493.65
2022-05-02 11:24:47,493.65
2022-05-02 11:24:48,493.65
2022-05-02 11:24:50,493.65
2022-05-02 11:24:52,493.65
2022-05-02 11:24:53,493.6
2022-05-02 11:24:54,493.6
2022-05-02 11:24:55,493.7
2022-05-02 11:24:56,493.6
2022-05-02 11:24:57,493.6
2022-05-02 11:24:58,493.6
2022-05-02 11:24:59,493.6
2022-05-02 11:25:00,493.6
2022-05-02 11:25:01,493.45
2022-05-02 11:25:02,493.45
2022-05-02 11:25:03,493.55
2022-05-02 11:25:04,493.6
2022-05-02 11:25:05,493.6
2022-05-02 11:25:06,493.6
2022-05-02 11:25:07,493.6
2022-05-02 11:25:08,493.5
2022-05-02 11:25:09,493.6
2022-05-02 11:25:10,493.6
2022-05-02 11:25:11,493.5
2022-05-02 11:25:12,493.6
2022-05-02 11:25:13,493.5
2022-05-02 11:25:14,493.45
2022-05-02 11:25:15,493.5
2022-05-02 11:25:16,493.5
2022-05-02 11:25:17,493.5
2022-05-02 11:25:18,493.6
2022-05-02 11:25:19,493.6
2022-05-02 11:25:20,493.6
2022-05-02 11:25:21,493.6
2022-05-02 11:25:22,493.6
2022-05-02 11:25:23,493.5
2022-05-02 11:25:24,493.5
2022-05-02 11:25:26,493.5
2022-05-02 11:25:27,493.6
2022-05-02 11:25:28,493.55
2022-05-02 11:25:29,493.55
2022-05-02 11:25:30,493.6
2022-05-02 11:25:32,493.5
2022-05-02 11:25:33,493.6
2022-05-02 11:25:34,493.6
2022-05-02 11:25:35,493.6
2022-05-02 11:25:36,493.6
2022-05-02 11:25:37,493.5
2022-05-02 11:25:38,493.55
2022-05-02 11:25:39,493.55
2022-05-02 11:25:40,493.55
2022-05-02 11:25:41,493.5
2022-05-02 11:25:42,493.5
2022-05-02 11:25:43,493.5
2022-05-02 11:26:15,493.3
2022-05-02 11:26:16,493.15
2022-05-02 11:26:17,493.3
2022-05-02 11:26:18,493.2
2022-05-02 11:26:19,493.15
2022-05-02 11:26:20,493.3
2022-05-02 11:26:21,493.3
2022-05-02 11:26:23,493.25
2022-05-02 11:26:24,493.3
2022-05-02 11:26:25,493.3
2022-05-02 11:26:26,493.15
2022-05-02 11:26:27,493.3
2022-05-02 11:26:28,493.3
2022-05-02 11:26:29,493.4
2022-05-02 11:26:30,493.3
2022-05-02 11:26:31,493.15
2022-05-02 11:26:32,493.3
2022-05-02 11:26:33,493.25
2022-05-02 11:26:34,493.4
2022-05-02 11:26:35,493.25
2022-05-02 11:26:36,493.4
2022-05-02 11:26:37,493.35
2022-05-02 11:26:38,493.2
2022-05-02 11:26:39,493.25
2022-05-02 11:26:40,493.05
2022-05-02 11:26:41,493.15
2022-05-02 11:26:42,493.15
2022-05-02 11:26:43,493.15
2022-05-02 11:26:44,492.75
2022-05-02 11:26:45,492.9
2022-05-02 11:26:46,492.9
2022-05-02 11:26:47,492.85
2022-05-02 11:26:48,492.6
2022-05-02 11:26:49,492.6
2022-05-02 11:26:51,492.6
2022-05-02 11:26:52,492.9
2022-05-02 11:26:53,492.9
2022-05-02 11:26:54,492.9
2022-05-02 11:26:55,492.9
2022-05-02 11:26:56,492.65
2022-05-02 11:26:57,492.9
2022-05-02 11:26:58,492.9
2022-05-02 11:26:59,492.9
2022-05-02 11:27:00,492.85
2022-05-02 11:27:01,492.6
2022-05-02 11:27:02,492.9
2022-05-02 11:27:03,492.85
2022-05-02 11:27:04,492.9
2022-05-02 11:27:05,492.6
2022-05-02 11:27:06,492.6
2022-05-02 11:27:07,492.5
2022-05-02 11:27:08,492.8
2022-05-02 11:27:09,492.6
2022-05-02 11:27:10,492.6
2022-05-02 11:27:11,492.6
2022-05-02 11:27:12,492.65
2022-05-02 11:27:13,492.85
2022-05-02 11:27:45,493.25
2022-05-02 11:27:46,493.2
2022-05-02 11:27:47,493.1
2022-05-02 11:27:48,493.2
2022-05-02 11:27:49,493.1
2022-05-02 11:27:50,493.35
2022-05-02 11:27:52,493.4
2022-05-02 11:27:53,493.4
2022-05-02 11:27:54,493.4
2022-05-02 11:27:55,493.2
2022-05-02 11:27:56,493.35
2022-05-02 11:27:57,493.35
2022-05-02 11:27:59,493.4
2022-05-02 11:28:00,493.2
2022-05-02 11:28:01,493.4
2022-05-02 11:28:03,493.35
2022-05-02 11:28:04,493.4
2022-05-02 11:28:05,493.4
2022-05-02 11:28:06,493.4
2022-05-02 11:28:07,493.4
2022-05-02 11:28:08,493.2
2022-05-02 11:28:09,493.45
2022-05-02 11:28:10,493.45
2022-05-02 11:28:11,493.35
2022-05-02 11:28:12,493.45
2022-05-02 11:28:13,493.4
2022-05-02 11:28:14,493.35
2022-05-02 11:28:15,493.6
2022-05-02 11:28:16,493.4
2022-05-02 11:28:17,493.45
